Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Album Cover URL
1n5gnI3Wue9WBpYFOIQNh1,Mundhinam,Vaaranam Aayiram (Original Motion Picture Soundtrack),"Harris Jayaraj,Naresh Iyer,Prashanthini",08-10-2008,341386,68,65mooourl7zq5yopi6a0jjxp1,2021-02-06T16:47:51Z,"tamil pop,kollywood,tamil dance,tollywood,telugu pop",Sony Music Entertainment India Pvt. Ltd.,0.474,0.548,11,-8.614,1,0.331,0.237,0,0.0791,0.676,193.671,4,https://i.scdn.co/image/ab67616d0000b273812bfb4e32feb448e527e8b1
1mIewCJuueICPkWTyKYlTx,Azhagana Chinna Devadhai,Samudhram (Original Motion Picture Soundtrack),"Shankar Mahadevan,Ganga",05-09-2001,402840,43,65mooourl7zq5yopi6a0jjxp1,2021-02-06T16:49:56Z,"bollywood,marathi pop,bhajan,devotional,desi,tamil dance,hindi pop,tamil pop,sufi",Star Music,0.651,0.732,0,-8.76,1,0.0798,0.093,0,0.105,0.793,171.862,4,https://i.scdn.co/image/ab67616d0000b273efcf1609c39377efc0ad34c3
6vZj02bcQqLTYRAi4jRkw7,Munbe Vaa,Silunu Oru Kadhal,"A.R. Rahman,Shreya Ghoshal,Naresh Iyer",02-08-2006,356941,0,65mooourl7zq5yopi6a0jjxp1,2021-02-06T16:49:23Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,tamil dance,kannada pop,marathi pop,sandalwood,bangla pop,tollywood,telugu pop",Eros Ayangaran,0.609,0.759,10,-9.422,0,0.0336,0.245,2.84E-05,0.207,0.802,141.126,4,https://i.scdn.co/image/ab67616d0000b273ee67ff5664c9991b2bd2894e
7hMKAmUlUUYa5qEiHWK4bk,Pookkal Pookkum,Madharasapattinam (Original Motion Picture Soundtrack),"G. V. Prakash,Roop Kumar Rathod,Harini,Andrea Jeremiah",04-04-2010,396466,68,65mooourl7zq5yopi6a0jjxp1,2021-02-06T16:53:57Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,bollywood,sufi,hindi pop,desi,telugu pop",Think Music (India),0.589,0.424,4,-12.006,0,0.0359,0.844,0.00381,0.169,0.561,119.823,4,https://i.scdn.co/image/ab67616d0000b273d496b47f528e298bdaacae30
5FfRt0NaBuDIHpRgsiCkWu,Anbae Anbae,Jeans (Original Motion Picture Soundtrack),"Hariharan,Anuradha Sriram,Vairamuthu",27-06-1998,332428,59,65mooourl7zq5yopi6a0jjxp1,2021-07-05T17:32:57Z,"bhajan,tamil pop,ghazal,kollywood,devotional,telugu pop,tamil dance,kannada pop",New Music,0.684,0.557,5,-11.187,0,0.0296,0.0183,0,0.17,0.799,122.009,4,https://i.scdn.co/image/ab67616d0000b27378248070d378199ec5a2f7c8
3xh3Uftw73Cs50QHv4KWAJ,Velli Malare (From Jodi),Hits of A.R.Rahman Nenjame,"S. P. Balasubrahmanyam,Mahalakshmi Iyer",25-12-2013,389185,45,65mooourl7zq5yopi6a0jjxp1,2021-07-05T17:33:52Z,"telugu pop,kannada pop,tamil pop,devotional,tollywood,sandalwood,kollywood,bollywood,desi,hindi pop",New Music,0.535,0.86,11,-1.167,0,0.173,0.429,0,0.155,0.636,172.025,4,https://i.scdn.co/image/ab67616d0000b273e0cb6e23d21ad2f9f597b64b
4FyZDLPO1ErUjzwnLrCLTA,Maruvaarthai,Maruvaarthai (From 'Enai Noki Paayum Thota'),Sid Sriram,11-02-2017,356718,0,65mooourl7zq5yopi6a0jjxp1,2021-02-06T16:48:34Z,"tollywood,telugu pop,tamil pop,kollywood",VMS Music Records And Publishing Sdn Bhd,0.561,0.729,8,-6.528,1,0.0304,0.0117,0.000127,0.105,0.27,127.993,4,https://i.scdn.co/image/ab67616d0000b2738b9642b32a0bf6c3d85e96da
1dmTEETgoWQVeNZb1g8dZc,Yamma Yamma,7 Aum Arivu (Original Motion Picture Soundtrack),"Harris Jayaraj,S. P. Balasubrahmanyam",22-09-2011,366506,63,65mooourl7zq5yopi6a0jjxp1,2021-02-06T16:49:36Z,"tamil pop,kollywood,tamil dance,telugu pop,kannada pop,devotional,tollywood,sandalwood",Sony Music Entertainment India Pvt. Ltd.,0.581,0.431,2,-10.364,1,0.0353,0.699,4.65E-05,0.134,0.446,88.809,4,https://i.scdn.co/image/ab67616d0000b273a92381244276bb228861a4b4
3kjpq6QXeJTgPbC1ed8wql,Enna Solla Pogirai,Kandukondain Kandukondain (Original Motion Picture Soundtrack),Shankar Mahadevan,08-04-1960,360880,0,65mooourl7zq5yopi6a0jjxp1,2021-02-06T16:50:08Z,"bollywood,marathi pop,bhajan,devotional,desi,tamil dance,hindi pop,tamil pop,sufi",Saregama,0.766,0.438,4,-13.101,0,0.164,0.0303,9.79E-06,0.0862,0.331,82.012,4,https://i.scdn.co/image/ab67616d0000b273c7b9784a3efa92bc48ac03e6
7yOB0xjipPQDlcGj5PWo7I,Roja Kadale,Anegan (Original Motion Picture Soundtrack),"Harris Jayaraj,Shankar Mahadevan,Sunidhi Chauhan,Chinmayi",10-11-2014,320853,56,65mooourl7zq5yopi6a0jjxp1,2021-02-06T16:50:31Z,"tamil pop,kollywood,tamil dance,bollywood,marathi pop,bhajan,devotional,desi,hindi pop,sufi,tollywood,telugu pop",Sony Music Entertainment India Pvt. Ltd.,0.734,0.9,11,-4.69,0,0.165,0.0904,4.74E-06,0.321,0.826,142.018,4,https://i.scdn.co/image/ab67616d0000b2737f321a49a5fd18e4b2258118
