id,name,artist,album,release_date,popularity,duration_ms,genres,album_art_url
1n5gnI3Wue9WBpYFOIQNh1,Mundhinam,Harris Jayaraj,Vaaranam Aayiram (Original Motion Picture Soundtrack),2008-10-08,66,341386,"tamil pop, kollywood, tamil dance",https://i.scdn.co/image/ab67616d0000b273812bfb4e32feb448e527e8b1
1mIewCJuueICPkWTyKYlTx,Azhagana Chinna Devadhai,Shankar Mahadevan,Samudhram (Original Motion Picture Soundtrack),2001-09-05,42,402840,"bollywood, marathi pop, bhajan, devotional, desi, tamil dance, hindi pop, tamil pop, sufi",https://i.scdn.co/image/ab67616d0000b273efcf1609c39377efc0ad34c3
6vZj02bcQqLTYRAi4jRkw7,Munbe Vaa,A.R. Rahman,Silunu Oru Kadhal,2006-08-02,0,356941,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b273ee67ff5664c9991b2bd2894e
7hMKAmUlUUYa5qEiHWK4bk,Pookkal Pookkum,G. V. Prakash,Madharasapattinam (Original Motion Picture Soundtrack),2010-04-04,67,396466,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b273d496b47f528e298bdaacae30
5FfRt0NaBuDIHpRgsiCkWu,Anbae Anbae,Hariharan,Jeans (Original Motion Picture Soundtrack),1998-06-27,57,332428,"bhajan, tamil pop, ghazal, kollywood, devotional, telugu pop",https://i.scdn.co/image/ab67616d0000b27378248070d378199ec5a2f7c8
3xh3Uftw73Cs50QHv4KWAJ,"Velli Malare (From ""Jodi"")",S. P. Balasubrahmanyam,Hits of A.R.Rahman Nenjame,2013-12-25,44,389185,"kannada pop, telugu pop, tamil pop, devotional, tollywood, sandalwood, kollywood",https://i.scdn.co/image/ab67616d0000b273e0cb6e23d21ad2f9f597b64b
4FyZDLPO1ErUjzwnLrCLTA,Maruvaarthai,Sid Sriram,Maruvaarthai (From 'Enai Noki Paayum Thota'),2017-02-11,0,356718,"tollywood, telugu pop, tamil pop, kollywood",https://i.scdn.co/image/ab67616d0000b2738b9642b32a0bf6c3d85e96da
1dmTEETgoWQVeNZb1g8dZc,Yamma Yamma,Harris Jayaraj,7 Aum Arivu (Original Motion Picture Soundtrack),2011-09-22,62,366506,"tamil pop, kollywood, tamil dance",https://i.scdn.co/image/ab67616d0000b273a92381244276bb228861a4b4
3kjpq6QXeJTgPbC1ed8wql,Enna Solla Pogirai,Shankar Mahadevan,Kandukondain Kandukondain (Original Motion Picture Soundtrack),1960-04-08,0,360880,"bollywood, marathi pop, bhajan, devotional, desi, tamil dance, hindi pop, tamil pop, sufi",https://i.scdn.co/image/ab67616d0000b273c7b9784a3efa92bc48ac03e6
7yOB0xjipPQDlcGj5PWo7I,Roja Kadale,Harris Jayaraj,Anegan (Original Motion Picture Soundtrack),2014-11-10,55,320853,"tamil pop, kollywood, tamil dance",https://i.scdn.co/image/ab67616d0000b2737f321a49a5fd18e4b2258118
