id,name,artist,album,release_date,popularity,duration_ms,genres,album_art_url
1n5gnI3Wue9WBpYFOIQNh1,Mundhinam,Harris Jayaraj,Vaaranam Aayiram (Original Motion Picture Soundtrack),2008-10-08,0.9565217391304348,0.795558300222551,"tamil pop, kollywood, tamil dance",https://i.scdn.co/image/ab67616d0000b273812bfb4e32feb448e527e8b1
1mIewCJuueICPkWTyKYlTx,Azhagana Chinna Devadhai,Shankar Mahadevan,Samudhram (Original Motion Picture Soundtrack),2001-09-05,0.6086956521739131,0.9387693275695326,"bollywood, marathi pop, bhajan, devotional, desi, tamil dance, hindi pop, tamil pop, sufi",https://i.scdn.co/image/ab67616d0000b273efcf1609c39377efc0ad34c3
6vZj02bcQqLTYRAi4jRkw7,Munbe Vaa,A.R. Rahman,Silunu Oru Kadhal,2006-08-02,0.0,0.8318073243769152,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b273ee67ff5664c9991b2bd2894e
7hMKAmUlUUYa5qEiHWK4bk,Pookkal Pookkum,G. V. Prakash,Madharasapattinam (Original Motion Picture Soundtrack),2010-04-04,0.9710144927536232,0.9239155005068571,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b273d496b47f528e298bdaacae30
5FfRt0NaBuDIHpRgsiCkWu,Anbae Anbae,Hariharan,Jeans (Original Motion Picture Soundtrack),1998-06-27,0.8260869565217391,0.7746827773440685,"bhajan, tamil pop, ghazal, kollywood, devotional, telugu pop",https://i.scdn.co/image/ab67616d0000b27378248070d378199ec5a2f7c8
3xh3Uftw73Cs50QHv4KWAJ,"Velli Malare (From ""Jodi"")",S. P. Balasubrahmanyam,Hits of A.R.Rahman Nenjame,2013-12-25,0.6376811594202899,0.9069480209267912,"kannada pop, telugu pop, tamil pop, devotional, tollywood, sandalwood, kollywood",https://i.scdn.co/image/ab67616d0000b273e0cb6e23d21ad2f9f597b64b
4FyZDLPO1ErUjzwnLrCLTA,Maruvaarthai,Sid Sriram,Maruvaarthai (From 'Enai Noki Paayum Thota'),2017-02-11,0.0,0.831287650163709,"tollywood, telugu pop, tamil pop, kollywood",https://i.scdn.co/image/ab67616d0000b2738b9642b32a0bf6c3d85e96da
1dmTEETgoWQVeNZb1g8dZc,Yamma Yamma,Harris Jayaraj,7 Aum Arivu (Original Motion Picture Soundtrack),2011-09-22,0.8985507246376812,0.8540973864814793,"tamil pop, kollywood, tamil dance",https://i.scdn.co/image/ab67616d0000b273a92381244276bb228861a4b4
3kjpq6QXeJTgPbC1ed8wql,Enna Solla Pogirai,Shankar Mahadevan,Kandukondain Kandukondain (Original Motion Picture Soundtrack),1960-04-08,0.0,0.8409866818918005,"bollywood, marathi pop, bhajan, devotional, desi, tamil dance, hindi pop, tamil pop, sufi",https://i.scdn.co/image/ab67616d0000b273c7b9784a3efa92bc48ac03e6
7yOB0xjipPQDlcGj5PWo7I,Roja Kadale,Harris Jayaraj,Anegan (Original Motion Picture Soundtrack),2014-11-10,0.7971014492753623,0.7477086561877352,"tamil pop, kollywood, tamil dance",https://i.scdn.co/image/ab67616d0000b2737f321a49a5fd18e4b2258118
1hhLL2eWsnPtYCdDjbiRIU,Thaarame Thaarame,Sid Sriram,Kadaram Kondan,2019-05-01,0.927536231884058,0.5318248022091979,"tollywood, telugu pop, tamil pop, kollywood",https://i.scdn.co/image/ab67616d0000b273a15a2fdd23b00a1cc68ae777
0QcpmVsHY4b4aI8fn0QJo5,Po Urave,Sid Sriram,Kaatrin Mozhi,2018-10-26,0.0,0.4727334164501357,"tollywood, telugu pop, tamil pop, kollywood",https://i.scdn.co/image/ab67616d0000b273360f9060f636e1dc2a6d36f3
102YVYHLNfgkfQP3qvDqsD,Koodamela Koodavechi,D. Imman,Rummy (Original Motion Picture Soundtrack),2013-10-25,0.8985507246376812,0.6999825221677173,"tamil pop, tamil dance, kollywood",https://i.scdn.co/image/ab67616d0000b273afb3b966469add924abb08c3
7kPQmli34iMaAl1IAJ6PRe,"Aasai Aasai (From ""Dhol"")",Shankar Mahadevan,Hariharan and Shankar Mahadevan Hits,2013-06-27,0.5942028985507246,0.747771576383953,"bollywood, marathi pop, bhajan, devotional, desi, tamil dance, hindi pop, tamil pop, sufi",https://i.scdn.co/image/ab67616d0000b273726baae59080517397b2ead6
7mAmuoXcbyjXz4rTHEOCiG,Kaadhal Vaithu,Vijay Yesudas,Deepavali (Original Motion Picture Soundtrack),2007-01-05,0.0,0.7200866900481222,"malayalam pop, mollywood, tamil pop, kollywood",https://i.scdn.co/image/ab67616d0000b2736404b5e2335d78d0a99eb0e7
3PzkxdshpgSkWrEeVqTsDe,Asku Laska,Vijay Prakash,Nanban (Original Motion Picture Soundtrack),2011-12-23,0.0,0.8878622280740593,"kannada pop, sandalwood, tollywood, telugu pop, tamil pop, kollywood",https://i.scdn.co/image/ab67616d0000b273105a73df60d84f149d8ddb20
09Z6o1yu596HJAwWZxTz4m,Othaiyadi Pathayila,Dhibu Ninan Thomas,Kanaa (Original Motion Picture Soundtrack),2018-08-23,0.9420289855072463,0.5818277151812451,"tamil pop, kollywood",https://i.scdn.co/image/ab67616d0000b2737653c310bcee929732bd0efa
0aI4SOX8BknvAfOs607FlV,Neethanae,A.R. Rahman,Mersal (Original Motion Picture Soundtrack),2017-08-20,0.7971014492753623,0.6256015287277302,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b273e9880adf2d476f7ff34824ee
6qRiVOBexkxK4BxSt1j6rn,Anbae Peranbae,Sid Sriram,NGK (Original Motion Picture Soundtrack),2019-04-30,0.9130434782608696,0.6276476002936275,"tollywood, telugu pop, tamil pop, kollywood",https://i.scdn.co/image/ab67616d0000b273487a5fa38bf29c93f168d56d
6sPW145Y3LSXd4p1LjBOcS,Kanave Kanave,Anirudh Ravichander,David,2013-01-10,0.9565217391304348,0.6636542651736713,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b2736b484c5fe1128f59f3a6a11f
2MwCoo4GeXpi8soWn9EiPo,Kannazhaga - The Kiss of Love,Anirudh Ravichander,3 (Original Motion Picture Soundtrack),2011-12-23,0.9420289855072463,0.47993195297297925,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b2730d66934f5370419636c78f18
6mmGbsCqf5e8vxv1WodYIG,Yathe Yathe,G. V. Prakash,Aadukalam (Original Motion Picture Soundtrack),2010-11-08,0.9420289855072463,0.8024888433170595,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b27334b1bdfeeb594c3295a2c17f
5jkH9Pgv28mW9ve6uGtohT,En Jeevan,G. V. Prakash,Theri (Original Motion Picture Soundtrack),2016-03-21,0.8985507246376812,0.7462661524300013,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b2737fbd05f382a4924f184a3602
3gnWw0LToxswxfC6Eb8GBp,Kadhal Aasai,Yuvan Shankar Raja,Anjaan (Original Motion Picture Soundtrack),2014-07-25,0.855072463768116,0.7078522074502173,"tamil pop, kollywood, tamil dance, tamil hip hop",https://i.scdn.co/image/ab67616d0000b2734f32c4b2cecc78e5e647ecd0
7lnRiEP7BHXuILXNY9MH8f,Otha Sollaala,G. V. Prakash,Aadukalam (Original Motion Picture Soundtrack),2010-11-08,0.927536231884058,0.5569276301224613,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b27334b1bdfeeb594c3295a2c17f
7mLEUzAulFygMchoGMrP8E,Ennodu Nee Irundhaal,A.R. Rahman,I (Original Motion Picture Soundtrack),2014-09-18,0.9565217391304348,0.8219474965918226,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b273809bf7d9ca23a1056904ed3d
5qGrY4iAi05Ej1yjfUUhNe,Kandaangi Kandaangi,Vijay,Jilla (Original Music Picture Soundtrack),2013-12-21,0.8840579710144928,0.6858650944385537,"tamil pop, tamil dance, kollywood, haryanvi pop",https://i.scdn.co/image/ab67616d0000b273c4f7a9747fd5545b2629b56d
0fHPR4JZNbqs7OsFdYaLja,Paarthen (The Youth Of Power Paandi),"Sean Roldan,Shweta Mohan",Power Paandi (Original Motion Picture Soundtrack),2017-04-06,0.0,0.4282255339477762,,https://i.scdn.co/image/ab67616d0000b273b2258cfab21f9a365cc00b16
6m4AFk6Zl0onZBXn8YEPnf,"Karuppu Nerathazhagi (From ""Komban"")",Velmurugan,GVP - The Distinctive Genius,2020-06-09,0.0,0.6334082938140125,"tamil dance, tamil pop, kollywood",https://i.scdn.co/image/ab67616d0000b273b625962074b31e9bebc1e951
2uqXfUERVBLa1heEoUTBlO,Thuli Thuli,Yuvan Shankar Raja,Paiya (Original Motion Picture Soundtrack),2010-11-22,0.9130434782608696,0.6603031821306642,"tamil pop, kollywood, tamil dance, tamil hip hop",https://i.scdn.co/image/ab67616d0000b2737de8959929372430846f570e
0ZkVWrdIkkXrvdqT7fv7sF,"Shollathaan Innaikkiren (From"" Kadhal Sugamanthu"")",K. S. Chithra,Hits of Chitra,2002,0.0,0.7038229845146405,"malayalam pop, telugu pop, kannada pop, mollywood, tollywood, tamil pop, devotional, sandalwood",https://i.scdn.co/image/ab67616d0000b27394e04c4f0cb556e9e10a7422
2WO5nzB7QtKn9ZRc9Jkalt,Annul Maelae,Harris Jayaraj,Vaaranam Aayiram (Original Motion Picture Soundtrack),2008-10-08,0.9565217391304348,0.751560770422847,"tamil pop, kollywood, tamil dance",https://i.scdn.co/image/ab67616d0000b273812bfb4e32feb448e527e8b1
5h5jgfkYcU92Tt7bHT5Jgx,Poopol Poopol,Harris Jayaraj,Minnale (Original Motion Picture Soundtrack),1962-01-02,0.0,0.2719690525849714,"tamil pop, kollywood, tamil dance",https://i.scdn.co/image/ab67616d0000b273b8504efae4eb2430d996ecdb
0DAGFNb2Mn8jYt69rcRnsY,Neeya Pesiyathu,Shankar Mahadevan,Thirumalai (Original Motion Picture Soundtrack),2003-04-13,0.7391304347826088,0.6475024177667991,"bollywood, marathi pop, bhajan, devotional, desi, tamil dance, hindi pop, tamil pop, sufi",https://i.scdn.co/image/ab67616d0000b2739c141f30aca387de150bb8f7
261mjNl37KlVPVuu2cFl22,Chinna Maharani,Hariharan,Priyasakhi (Original Motion Picture Soundtrack),2005-04-30,0.4927536231884058,0.6759027300374025,"bhajan, tamil pop, ghazal, kollywood, devotional, telugu pop",https://i.scdn.co/image/ab67616d0000b273fade51cc28ad6f136f0cc49b
7leZvkSK0HCGJAFSOaaqpA,Paakatha,Devi Sri Prasad,Aaru,2005-12-09,0.0,0.6101231604581522,"telugu pop, tollywood, tamil dance, tamil pop, kollywood",https://i.scdn.co/image/ab67616d0000b2731e5f14a041de3d6cd339ca86
0249Wjt2twxjF96oTWgnkr,Thoovaanam,D. Imman,Romeo Juliet (Original Motion Picture Soundtrack),2015-03-12,0.7536231884057971,0.618715262808338,"tamil pop, tamil dance, kollywood",https://i.scdn.co/image/ab67616d0000b273a1b7f6c0129ee7bdf0671767
4DjNNA9DIXEBfHJlClhXnp,"Senjitaley (From ""Remo"")",Anirudh Ravichander,"Senjitaley (From ""Remo"")",2016-07-02,0.6521739130434783,0.5857008028150962,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b2738463719650085b1cf579bf2c
4mOmWSdTmf6fSAibGWCKp7,Mental Manadhil,A.R. Rahman,O Kadhal Kanmani (Original Motion Picture Soundtrack),2015-04-07,0.8695652173913043,0.47949617235473,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b2732318539f1b037d942fafa581
5oxWMyPoNhQvDBofsFJLmX,"Mottukkale (From ""Rojakkottam"")",Hariharan,Hits of Hariharan,2013-03-22,0.6231884057971014,0.6963168381436211,"bhajan, tamil pop, ghazal, kollywood, devotional, telugu pop",https://i.scdn.co/image/ab67616d0000b273300c5c6e978b79fb5eb43429
0tdLg7JSZf81seknzIEdlG,Kannum Kannumthaan,Harish Raghavendra,Thirupaachi,2004-12-14,0.0,0.8240821225079523,"tamil pop, kollywood, telugu pop, tollywood",https://i.scdn.co/image/ab67616d0000b273620cc7a1bfb1ca69914c492c
1h4fhfxL7IU9jgzZlPEH51,Thaen Thaen,Udit Narayan,Kuruvi,2008-08-08,0.0,0.5560281043543106,"bollywood, hindi pop, desi",https://i.scdn.co/image/ab67616d0000b2738fd55ebb4631f806619a82a1
0SSLKt27B0a71OqsPy0uoY,Siragugal,Yuvan Shankar Raja,Sarvam,2009-02-14,0.0,0.7595399834543187,"tamil pop, kollywood, tamil dance, tamil hip hop",https://i.scdn.co/image/ab67616d0000b2738f83ad8b7424503f79b40457
3hnQg76YVK1dFOcXvgFDDz,"Azhage Bhramanidam (From ""Devathayai Kanden"")","Harish Raghavendra,Chinmayi Sripaada",Thenisai Thendral,2019-11-18,0.0,0.6313692133810284,,https://i.scdn.co/image/ab67616d0000b273c227133cb9aaf44d9fffa01a
2ZqzELrxZZyeTPSR7GZBH4,Yaar Azhaippadhu,Ghibran,Maara (Original Motion Picture Soundtrack),2021-01-01,0.855072463768116,0.5833517821562983,"tamil pop, kollywood, devotional",https://i.scdn.co/image/ab67616d0000b27361699895865af6c4cfce199e
6kekHWEQ4SyMe5EjYAlveP,High On Love,"Yuvan Shankar Raja,Sid Sriram","High On Love (From ""Pyaar Prema Kaadhal"" Original Motion Picture Soundtrack)",2018-02-14,0.0,0.5596844668678559,,https://i.scdn.co/image/ab67616d0000b273156324380810e471c7a036e8
10Zc6GsstyzEMnWB4mTuxE,Verrattaama Verratturiye,Leon James,Veera (Original Motion Picture Soundtrack),2017-03-23,0.6521739130434783,0.6449483238758841,"tamil pop, kollywood, tollywood, telugu pop",https://i.scdn.co/image/ab67616d0000b27392b2cbee68641b88de97723b
7HAdKnI0krPTeCtG9QsrEx,Apple Penne,Srinivas,Rojakoottam (Original Motion Picture Soundtrack),2002-08-06,0.4492753623188406,0.7793714971511133,"tamil pop, tollywood, kollywood, malayalam pop, telugu pop",https://i.scdn.co/image/ab67616d0000b273966dbed4b044c845a02f57da
0T6z2mf5tb3kv208JXgPj9,Nangaai,Harris Jayaraj,Engeyum Kadhal (Original Motion Picture Soundtrack),2010-11-11,0.782608695652174,0.6447059646015636,"tamil pop, kollywood, tamil dance",https://i.scdn.co/image/ab67616d0000b2733400267d036e5577446bdaf6
0CmXnoIhxUwHiaSQab2cnM,"Thavani Pootta (From ""Sandakozhi"")",Vijay Yesudas,Hits of Harris & Yuvan Isai Thendral,2014-01-12,0.42028985507246375,0.6131060438344034,"malayalam pop, mollywood, tamil pop, kollywood",https://i.scdn.co/image/ab67616d0000b273e1bde42c47f2e33e896c5478
6NwEpX2JUWHVKWfDDfcqC4,Idhazhin Oram - The Innocence of Love,Anirudh Ravichander,3 (Original Motion Picture Soundtrack),2011-12-23,0.9855072463768116,0.47741514512426736,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b2730d66934f5370419636c78f18
5sDm6BsZKeC8YwLcbdRVus,Palaanadhu Palaanadhu,Vidyasagar,Kuruvi,2008-08-08,0.0,0.5857008028150962,"malayalam pop, mollywood, tamil dance, kollywood, tamil pop",https://i.scdn.co/image/ab67616d0000b2738fd55ebb4631f806619a82a1
13nt0ZQGcwH7oPitTFwjPX,Iraiva,Anirudh Ravichander,Velaikkaran (Original Motion Picture Soundtrack),2017-12-04,0.6666666666666666,0.6867972454936322,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b273c8f85626cf23f8113c4e0ab9
6s6evoMsDwWqjTvqbvbs5F,Nillayo,Haricharan,Bairavaa,2016-12-21,0.0,0.5888584645141745,"mollywood, tamil pop, tollywood, telugu pop, malayalam pop, kollywood, tamil dance, kannada pop",https://i.scdn.co/image/ab67616d0000b273a820f4022de5b6f1b6d460f1
4HDzsx1dJKbuL0YkffBuBm,Thodu Vaanam,Harris Jayaraj,Anegan (Original Motion Picture Soundtrack),2014-11-10,0.8840579710144928,0.7345653263111287,"tamil pop, kollywood, tamil dance",https://i.scdn.co/image/ab67616d0000b2737f321a49a5fd18e4b2258118
7zEqY4oGrTVOx85VlRSymi,Tamilselvi,Anirudh Ravichander,Remo (Original Motion Picture Soundtrack),2016-09-05,0.8260869565217391,0.5368910431935495,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b273476dd4ecf104ced7a778eeb8
4nSwWiwtieiNmRAjy9fEXN,Kannala Kannala - The Melting Point of Love,Hiphop Tamizha,Thani Oruvan (Original Motion Picture Soundtrack),2015-07-22,0.9420289855072463,0.50209384430747,"tamil hip hop, tamil pop, kollywood, tamil dance, tamil indie",https://i.scdn.co/image/ab67616d0000b273819d40c7d46bf2cf31ee1b23
13wIQbwSuQ4YFvDvtQgSVc,Vaarayo Vaarayo,Harris Jayaraj,Aadhavan (Original Motion Picture Soundtrack),2009-08-09,0.9565217391304348,0.737983990305629,"tamil pop, kollywood, tamil dance",https://i.scdn.co/image/ab67616d0000b273555862c7f059ba85617a68ee
0fGclndst25Qqy8j4u5De5,"Chellamma (From ""Doctor"")",Anirudh Ravichander,"Chellamma (From ""Doctor"")",2020-07-16,0.8405797101449275,0.5511343113151486,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b273c956570aa19c0b82b719fee6
